subject,slot,num_sections,total_enrolled
기하,a,2,38
물리학,a,1,28
세계시민과 지리,a,1,28
역사로 탐구하는 현대 세계,a,1,24
융합과학 탐구,a,1,21
정치,a,1,25
현대사회와 윤리,a,3,73
화학,a,1,26
기하,b,1,26
물리학,b,1,11
세계시민과 지리,b,2,48
역사로 탐구하는 현대 세계,b,1,23
융합과학 탐구,b,1,22
정치,b,1,28
현대사회와 윤리,b,2,56
화학,b,2,49
기하,c,1,14
물리학,c,2,44
세계시민과 지리,c,1,24
역사로 탐구하는 현대 세계,c,2,46
융합과학 탐구,c,1,26
정치,c,2,56
현대사회와 윤리,c,1,25
화학,c,1,28
