student_id,name,subject,slot,section_label,status
10204,10204,인간과 심리,a,인간과 심리_a_1,assigned
10204,10204,현대사회와 윤리,c,현대사회와 윤리_c_1,assigned
10204,10204,동아시아 역사 기행,d,동아시아 역사 기행_d_1,assigned
10205,10205,사회와 문화,b,사회와 문화_b_1,assigned
10205,10205,현대사회와 윤리,c,현대사회와 윤리_c_1,assigned
10205,10205,문학과 영상,d,문학과 영상_d_1,assigned
10205,10205,정보,a,정보_a_1,assigned
10206,10206,사회와 문화,b,사회와 문화_b_1,assigned
10206,10206,현대사회와 윤리,c,현대사회와 윤리_c_1,assigned
10206,10206,동아시아 역사 기행,d,동아시아 역사 기행_d_1,assigned
10206,10206,도시의 미래 탐구,a,도시의 미래 탐구_a_1,assigned
10207,10207,사회와 문화,b,사회와 문화_b_1,assigned
10207,10207,인간과 심리,c,인간과 심리_c_1,assigned
10207,10207,음악 연주와 창작,a,음악 연주와 창작_a_1,assigned
10207,10207,기하,d,기하_d_1,assigned
10208,10208,인간과 심리,a,인간과 심리_a_1,assigned
10208,10208,현대사회와 윤리,c,현대사회와 윤리_c_1,assigned
10208,10208,문학과 영상,d,문학과 영상_d_1,assigned
10208,10208,지구시스템과학,b,지구시스템과학_b_1,assigned
10209,10209,인간과 심리,c,인간과 심리_c_1,assigned
10209,10209,동아시아 역사 기행,d,동아시아 역사 기행_d_1,assigned
10209,10209,도시의 미래 탐구,a,도시의 미래 탐구_a_1,assigned
10209,10209,지구시스템과학,b,지구시스템과학_b_1,assigned
10210,10210,인간과 심리,c,인간과 심리_c_1,assigned
10210,10210,현대사회와 윤리,d,현대사회와 윤리_d_1,assigned
10210,10210,미디어 영어,b,미디어 영어_b_1,assigned
10210,10210,음악 연주와 창작,a,음악 연주와 창작_a_1,assigned
10211,10211,정보,a,정보_a_1,assigned
10211,10211,미디어 영어,b,미디어 영어_b_1,assigned
10211,10211,기하,d,기하_d_1,assigned
10211,10211,역학과 에너지,c,역학과 에너지_c_1,assigned
10212,10212,정보,a,정보_a_1,assigned
10212,10212,기하,d,기하_d_1,assigned
10212,10212,지구시스템과학,b,지구시스템과학_b_1,assigned
10212,10212,역학과 에너지,c,역학과 에너지_c_1,assigned
