subject,slot,num_sections,total_enrolled
미술 창작,a,1,24
법과 사회,a,1,22
세계 문화와 영어,a,1,21
인문학과 윤리,a,1,6
주제 탐구 독서,a,1,22
중국어,a,1,11
생명과학,b,1,17
세계사,b,1,9
세계시민과 지리,b,1,21
인공지능 수학,b,1,15
인문학과 윤리,b,1,14
주제 탐구 독서,b,1,28
미술 창작,c,1,14
법과 사회,c,1,22
세계 문화와 영어,c,1,8
일본어,c,1,25
지구과학,c,1,14
화학,c,1,24
물리학,d,1,15
생명과학,d,1,22
세계사,d,1,22
인문학과 윤리,d,1,13
일본어,d,1,28
한문,d,1,9
