subject,slot,num_sections,total_enrolled
기하,a,1,5
물리학,a,2,56
세계시민과 지리,a,1,27
역사로 탐구하는 현대 세계,a,2,47
융합과학 탐구,a,1,20
정치,a,2,56
현대사회와 윤리,a,1,24
화학,a,1,28
기하,b,1,17
물리학,b,1,16
세계시민과 지리,b,1,17
역사로 탐구하는 현대 세계,b,1,28
융합과학 탐구,b,1,23
정치,b,1,25
현대사회와 윤리,b,3,82
화학,b,2,55
기하,c,2,56
물리학,c,1,11
세계시민과 지리,c,2,56
역사로 탐구하는 현대 세계,c,1,18
융합과학 탐구,c,1,26
정치,c,1,28
현대사회와 윤리,c,2,48
화학,c,1,20
