subject,slot,num_sections,total_enrolled
미술 감상과 비평,a,1,19
음악 연주와 창작,a,1,12
현대사회와 윤리,a,1,16
화학,a,1,10
물리학,b,1,18
사회와 문화,b,1,25
현대사회와 윤리,b,1,12
생명과학,c,1,23
주제 탐구 독서,c,1,21
지구과학,c,1,10
현대사회와 윤리,c,1,3
일본어,d,1,26
프랑스어,d,1,11
화학,d,1,17
