subject,slot,num_sections,total_enrolled
물리학,a,1,13
생명과학,a,1,24
세계사,a,1,23
인문학과 윤리,a,1,19
일본어,a,1,16
지구과학,a,1,14
미술 창작,b,1,23
법과 사회,b,1,18
세계 문화와 영어,b,1,29
세계사,b,1,9
인문학과 윤리,b,1,12
일본어,b,1,13
미술 창작,c,1,15
법과 사회,c,1,13
일본어,c,1,23
주제 탐구 독서,c,1,19
한문,c,1,9
화학,c,1,25
법과 사회,d,1,17
생명과학,d,1,15
세계시민과 지리,d,1,18
인공지능 수학,d,1,15
주제 탐구 독서,d,1,30
중국어,d,1,11
