subject,slot,num_sections,total_enrolled
미술 창작,a,1,22
세계 문화와 영어,a,1,25
인문학과 윤리,a,1,16
일본어,a,1,20
주제 탐구 독서,a,1,20
지구과학,a,1,8
법과 사회,b,1,25
생명과학,b,1,16
인공지능 수학,b,1,15
일본어,b,1,19
주제 탐구 독서,b,1,27
지구과학,b,1,10
물리학,c,1,15
생명과학,c,1,28
세계사,c,1,21
인문학과 윤리,c,1,21
일본어,c,1,28
미술 창작,d,1,19
법과 사회,d,1,27
세계사,d,1,11
세계시민과 지리,d,1,27
화학,d,1,26
