subject,slot,num_sections,total_enrolled
물리학,a,1,16
법과 사회,a,1,22
생명과학,a,1,11
세계시민과 지리,a,1,26
일본어,a,1,15
주제 탐구 독서,a,1,20
미술 창작,b,1,21
법과 사회,b,1,25
생명과학,b,1,9
인문학과 윤리,b,1,28
주제 탐구 독서,b,1,26
미술 창작,c,1,20
생명과학,c,1,24
세계사,c,1,25
인공지능 수학,c,1,15
일본어,c,1,24
세계 문화와 영어,d,1,23
세계사,d,1,7
인문학과 윤리,d,1,11
일본어,d,1,28
지구과학,d,1,18
화학,d,1,24
