subject,total_sections
확률과 통계,4
정치와 법,4
한국지리,4
심리학,4
언어와 매체,4
윤리와 사상,3
동아시아사,3
화법과 작문,3
미술감상과 비평,3
영어회화,3
영어독해와 작문,3
지구과학Ⅱ,3
생명과학Ⅱ,3
실용경제,3
교육학,2
음악감상과 비평,2
환경,2
체육전공실기기초,2
미적분,2
미디어콘텐츠일반,1
화학Ⅱ,1
생활과 과학,1
여행지리,1
물리학Ⅱ,1
마케팅과 광고,1
