subject,slot,num_sections,total_enrolled
미술 창작,a,1,24
법과 사회,a,1,26
인공지능 수학,a,1,15
인문학과 윤리,a,1,21
주제 탐구 독서,a,1,23
미술 창작,b,1,8
세계시민과 지리,b,1,27
일본어,b,1,24
주제 탐구 독서,b,1,23
화학,b,1,27
미술 창작,c,1,10
법과 사회,c,1,26
생명과학,c,1,19
세계 문화와 영어,c,1,22
일본어,c,1,17
지구과학,c,1,18
물리학,d,1,16
생명과학,d,1,25
세계사,d,1,28
인문학과 윤리,d,1,17
일본어,d,1,27
