subject,slot,num_sections,total_enrolled
기하,a,1,21
물리학,a,1,16
세계시민과 지리,a,3,28
역사로 탐구하는 현대 세계,a,1,16
융합과학 탐구,a,1,23
정치,a,1,18
현대사회와 윤리,a,1,26
화학,a,1,26
기하,b,1,19
물리학,b,1,18
세계시민과 지리,b,2,46
역사로 탐구하는 현대 세계,b,1,10
융합과학 탐구,b,1,20
정치,b,1,26
현대사회와 윤리,b,2,50
화학,b,1,26
기하,c,1,12
물리학,c,1,24
역사로 탐구하는 현대 세계,c,2,52
정치,c,3,44
현대사회와 윤리,c,2,52
화학,c,1,26
기하,d,1,26
물리학,d,1,25
세계시민과 지리,d,1,26
역사로 탐구하는 현대 세계,d,1,15
융합과학 탐구,d,3,26
정치,d,1,21
현대사회와 윤리,d,1,26
화학,d,1,25
